Title,Author,Author Birth Year,Languuage,LCC (General),LCC (Full)
"Jazz de Luxe
Fox Trot",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Sensation Jazz: One-Step,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Dixieland
One-Step",Lopez and Hamilton's Kings of Harmony,UNKNOWN YEAR,en,M,M
Blues my Naughty Sweetie Gives to Me,Harry Raderman's Jazz Orchestra,UNKNOWN YEAR,en,M,M
The St. Louis Blues,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Essays; Political, Economical, and Philosophical — Volume 1","Rumford, Benjamin, Graf von",1753,en,Q,Q
The Five Bachelors,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PS
Town Geology,"Kingsley, Charles",1819,en,Q,QE
The Old Violin,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PS
The Gospel of Wealth,"Carnegie, Andrew",1835,en,H,HB
The Birth of the Telephone,"Watson, Thomas Augustus",1854,en,T,TK
La Paloma,UNKNOWN AUTHOR,UNKNOWN YEAR,es,M,M
"O, Tannenbaum",Nebe-Quartett,UNKNOWN YEAR,de,M,M
Mazel Tov,I. J. Hochman's Yiddisher Orchester,UNKNOWN YEAR,yi,M,M
Nataligino Kolo,Jugoslavensko Tamburasko Drustvo,UNKNOWN YEAR,en,M,M
Smês esko - slováckych písní - cis 1,"Lusk, Milan",UNKNOWN YEAR,en,M,M
The Diary of a Nobody,"Grossmith, Weedon",1852,en,P,PR
"Narodowe Melodye
Polka",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
