Title,Author,Author Birth Year,Languuage,LCC (General),LCC (Full)
"The Fortunate Foundlings
Being the Genuine History of Colonel M——Rs, and His Sister, Madam Du P——Y, the Issue of the Hon. Ch——Es M——Rs, Son of the Late Duke of R—— L——D. Containing Many Wonderful Accidents That Befel Them in Their Travels, and Interspersed with the Characters and Adventures of Several Persons of Condition, In the Most Polite Courts of Europe. the Whole Calculated for the Entertainment and Improvement of the Youth of Both Sexes.","Haywood, Eliza Fowler",UNKNOWN YEAR,en,P,PR
"Count the Cost
An Address to the People of Connecticut, On Sundry Political Subjects, and Particularly on the Proposition for a New Constitution","Daggett, David",1764,en,F,F001
The Sword of Welleran and Other Stories,"Dunsany, Lord",1878,en,P,PR
The Constitutional History of England from 1760 to 1860,"Yonge, Charles Duke",1812,en,D,DA
Consumers' Cooperative Societies in New York State,Consumers' League of New York City,UNKNOWN YEAR,en,H,HD
"Why We Are at War (2nd Edition, revised)",University of Oxford. Faculty of Modern History,UNKNOWN YEAR,en,D,D501
Dead Souls,"Gogol, Nikolai Vasilevich",1809,en,P,PG
"The Young Trail Hunters
Or, the Wild Riders of the Plains. The Veritable Adventures of Hal Hyde and Ned Brown, on Their Journey Across the Great Plains of the South-West","Cozzens, Samuel Woodworth",1834,en,P,PZ
De La Salle Fifth Reader,Christian Brothers,UNKNOWN YEAR,en,P,PE
The Worshipper of the Image,"Le Gallienne, Richard",1866,en,P,PR
A Versailles Christmas-Tide,"Boyd, Mary Stuart",UNKNOWN YEAR,en,P,PR
"Legends, Tales and Poems","Bécquer, Gustavo Adolfo",1836,es,P,PQ
"A Compilation of the Messages and Papers of the Presidents
Volume 4, part 1: William Henry Harrison",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
"The Giant Hands
or, the Reward of Industry","Crowquill, Alfred",1804,en,P,PZ
Anne Severn and the Fieldings,"Sinclair, May",1863,en,P,PR
"Sport and Work on the Nepaul Frontier
Twelve Years Sporting Reminiscences of an Indigo Planter","Inglis, James",1845,en,S,SK
De kleine Johannes,"Eeden, Frederik van",1860,nl,P,PT
"Voyage of the Paper Canoe
A Geographical Journey of 2500 Miles, from Quebec to the Gulf of Mexico, During the Years 1874-5","Bishop, Nathaniel H. (Nathaniel Holmes)",1837,en,F,F106
Een liefde,"Deyssel, Lodewijk van",1864,nl,P,PT
"Manfredo
Drama en tres actos","Byron, George Gordon Byron, Baron",1788,es,P,PR
"El paraiso de las mujeres
Novela","Blasco Ibáñez, Vicente",1867,es,P,PQ
Reise durch England und Schottland,"Schopenhauer, Johanna",1766,de,D,DA
Un tournoi à Romans en 1484,"Chevalier, Ulysse",1804,fr,D,DC
La Navidad en las Montañas,"Altamirano, Ignacio Manuel",1834,es,P,PQ
"The Book-Bills of Narcissus
An Account Rendered by Richard Le Gallienne","Le Gallienne, Richard",1866,en,P,PR
Discourses on the First Decade of Titus Livius,"Machiavelli, Niccolò",1469,en,J,JC
"Roman History, Books I-III",Livy,UNKNOWN YEAR,en,D,DG
Ludvigsbakke,"Bang, Herman",1857,da,P,PT
The Arrow of Gold: A Story Between Two Notes,"Conrad, Joseph",1857,en,P,PR
Cinderella,"Hewet, Henry W.",UNKNOWN YEAR,en,P,PZ
The Village in the Mountains; Conversion of Peter Bayssière; and History of a Bible,"Wilder, Sampson Vryling Stoddard",1780,en,B,BV
"Carnacki, the Ghost Finder","Hodgson, William Hope",1877,en,P,PR
"The Essays of Arthur Schopenhauer; Religion, a Dialogue, Etc.","Schopenhauer, Arthur",1788,en,B,B
The History of Insects,Unknown,UNKNOWN YEAR,en,P,PZ
"Dr. Johnson's Works: Life, Poems, and Tales, Volume 1
The Works of Samuel Johnson, LL.D., in Nine Volumes","Johnson, Samuel",1709,en,P,PR
The Algebra of Logic,"Couturat, Louis",1868,en,B,BC
"The Soul of Democracy
The Philosophy of the World War in Relation to Human Liberty","Griggs, Edward Howard",1868,en,D,D501
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 350, January 3, 1829",Various,UNKNOWN YEAR,en,A,AP
Sugar and Spice: Comical Tales Comically Dressed,"Johnson, James",UNKNOWN YEAR,en,P,PZ
Recipes Tried and True,"First Presbyterian Church (Marion, Ohio). Ladies' Aid Society",UNKNOWN YEAR,en,T,TX
The Explorers of Australia and their Life-work,"Favenc, Ernest",1846,en,D,DU
L'archéologie égyptienne,"Maspero, G. (Gaston)",1846,fr,D,DT
"The Life of Captain James Cook, the Circumnavigator","Kitson, Arthur",1848,en,G,G
The Mental Life of Monkeys and Apes: A Study of Ideational Behavior,"Yerkes, Robert Mearns",1876,en,Q,QL
A Gentleman from Mississippi,"Wise, Thomas A. (Thomas Alfred)",1865,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 332, September 20, 1828",Various,UNKNOWN YEAR,en,A,AP
Seekers after God,"Farrar, F. W. (Frederic William)",1831,en,B,B
The Maids Tragedy,"Beaumont, Francis",1584,en,P,PR
"Natalie
Or, A Gem Among the Sea-Weeds","Vale, Ferna",UNKNOWN YEAR,en,P,PS
"Saved at Sea
A Lighthouse Story","Walton, O. F., Mrs.",1849,en,P,PZ
Life of John Sterling,"Carlyle, Thomas",1795,en,C,CT
"Philaster; Or, Love Lies a Bleeding","Beaumont, Francis",1584,en,P,PR
"The Works of Charles and Mary Lamb — Volume 6
Letters 1821-1842","Lamb, Charles",1775,en,P,PR
Hardy Ornamental Flowering Trees and Shrubs,"Webster, Angus Duncan",UNKNOWN YEAR,en,S,SB
Our Gift,Teachers of the School Street Universalist Sunday School. Boston,UNKNOWN YEAR,en,P,PZ
"The Atlantic Monthly, Volume 06, No. 36, October, 1860
A Magazine Of Literature, Art, And Politics",Various,UNKNOWN YEAR,en,A,AP
"Is Mars habitable? A critical examination of Professor Percival Lowell's book ""Mars and its canals,"" with an alternative explanation","Wallace, Alfred Russel",1823,en,Q,QB
"A Narrative of the Siege of Delhi
With an Account of the Mutiny at Ferozepore in 1857","Griffiths, Charles John",UNKNOWN YEAR,en,D,DS
"My Native Land
The United States: its Wonders, its Beauties, and its People; with Descriptive Notes, Character Sketches, Folk Lore, Traditions, Legends and History, for the Amusement of the Old and the Instruction of the Young","Cox, James",1851,en,E,E151
"A Compilation of the Messages and Papers of the Presidents
Volume 2, part 3: Andrew Jackson, 1st term",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
Paul and Virginia from the French of J.B.H. de Saint Pierre,"Saint-Pierre, Bernardin de",1737,en,P,PQ
A Horse's Tale,"Twain, Mark",1835,en,P,PS
"The Gracchi Marius and Sulla
Epochs of Ancient History","Beesly, A. H. (Augustus Henry)",1839,en,D,DG
"Paris under the Commune
The Seventy-Three Days of the Second Siege; with Numerous Illustrations, Sketches Taken on the Spot, and Portraits (from the Original Photographs)","Leighton, John",1822,en,D,DC
The White Waterfall,"Dwyer, James Francis",1874,en,P,PR
Juha,"Aho, Juhani",1861,fi,P,PH
"A Visit to the Monastery of La Trappe in 1817
With Notes Taken During a Tour Through Le Perche, Normandy, Bretagne, Poitou, Anjou, Le Bocage, Touraine, Orleanois, and the Environs of Paris.
Illustrated with Numerous Coloured Engravings, from Drawings Made on the Spot","Fellowes, W. D. (William Dorset)",UNKNOWN YEAR,en,D,DC
Play-Making: A Manual of Craftsmanship,"Archer, William",1856,en,P,PN
The Dolorous Passion of Our Lord Jesus Christ,"Emmerich, Anna Katharina",1774,en,B,BT
"The Atlantic Monthly, Volume 02, No. 13, November, 1858
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
Clerambault: The Story of an Independent Spirit During the War,"Rolland, Romain",1866,en,P,PQ
The Abandoned Room,"Camp, Wadsworth",1879,en,P,PS
Baartock,"Roth, Lewis",UNKNOWN YEAR,en,P,PZ
"Are You a Bromide?
The Sulphitic Theory Expounded and Exemplified According to the Most Recent Researches into the Psychology of Boredom, Including Many Well-Known Bromidioms Now in Use","Burgess, Gelett",1866,en,P,PS
"At Sunwich Port, Part 1.
Contents: Chapters 1-5","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"At Sunwich Port, Part 2.
Contents: Chapters 6-10","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"At Sunwich Port, Part 3.
Contents: Chapters 11-15","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"At Sunwich Port, Part 4.
Contents: Chapters 16-20","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"At Sunwich Port, Part 5.
Contents: Chapters 21-25","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"At Sunwich Port, Complete","Jacobs, W. W. (William Wymark)",1863,en,P,PR
The Tragedies of the Medici,"Staley, Edgcumbe",1845,en,D,DG
"The Mule
A Treatise on the Breeding, Training, and Uses to Which He May Be Put","Riley, Harvey",UNKNOWN YEAR,en,S,SF
"A Compilation of the Messages and Papers of the Presidents
Volume 2, part 2: John Quincy Adams",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
Rolf in the Woods,"Seton, Ernest Thompson",1860,en,P,PS
Teddy's Button,"Le Feuvre, Amy",UNKNOWN YEAR,en,P,PZ
Crescent and Iron Cross,"Benson, E. F. (Edward Frederic)",1867,en,D,D501
The Eagle's Shadow,"Cabell, James Branch",1879,en,P,PS
"Dio's Rome, Volume 4
An Historical Narrative Originally Composed in Greek During the
Reigns of Septimius Severus, Geta and Caracalla, Macrinus,
Elagabalus and Alexander Severus: and Now Presented in English Form",Cassius Dio Cocceianus,UNKNOWN YEAR,en,D,DG
"A Publisher and His Friends
Memoir and Correspondence of John Murray; with an Account of the Origin and Progress of the House, 1768-1843","Smiles, Samuel",1812,en,Z,Z
"Stories from the Italian Poets: with Lives of the Writers, Volume 1","Hunt, Leigh",1784,en,P,PQ
The Untamed,"Brand, Max",1892,en,P,PS
Babylonian and Assyrian Literature,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PJ
"Arthur Hamilton, and His Dog",Anonymous,UNKNOWN YEAR,en,P,PZ
The Life and Romances of Mrs. Eliza Haywood,"Whicher, George Frisbie",1889,en,P,PR
"Moon-Face, and Other Stories","London, Jack",1876,en,P,PS
"Dio's Rome, Volume 5, Books 61-76 (A.D. 54-211)
An Historical Narrative Originally Composed in Greek During
The Reigns of Septimius Severus, Geta and Caracalla, Macrinus,
Elagabalus and Alexander Severus: and Now Presented in English
Form By Herbert Baldwin Foster",Cassius Dio Cocceianus,UNKNOWN YEAR,en,D,DG
Algonquin Indian Tales,"Young, Egerton Ryerson",1840,en,E,E011
Dawn,"Haggard, H. Rider (Henry Rider)",1856,en,P,PR
"A Compilation of the Messages and Papers of the Presidents
Volume 1, part 3: Thomas Jefferson",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
"A Compilation of the Messages and Papers of the Presidents
Volume 1, part 2: John Adams",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
"A Compilation of the Messages and Papers of the Presidents
Volume 1, part 4: James Madison",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 283, November 17, 1827",Various,UNKNOWN YEAR,en,A,AP
The Wendigo,"Blackwood, Algernon",1869,en,P,PR
"American Scenes, and Christian Slavery
A Recent Tour of Four Thousand Miles in the United States","Davies, Ebenezer",1808,en,E,E151
Olivia in India,"Douglas, O.",1877,en,P,PR
"Renascence, and Other Poems","Millay, Edna St. Vincent",1892,en,P,PS
The Bickerstaff-Partridge Papers,"Swift, Jonathan",1667,en,P,PR
The King James Bible,UNKNOWN AUTHOR,UNKNOWN YEAR,en,B,BS
Three Young Knights,"Donnell, Annie Hamilton",1862,en,P,PZ
Big and Little Sisters: A Story of an Indian Mission School,"Jenness, Theodora R. (Theodora Robinson)",1847,en,P,PZ
"Punch, or the London Charivari, Volume 153, October 17, 1917",Various,UNKNOWN YEAR,en,A,AP
"Frank Merriwell's Nobility; Or, The Tragedy of the Ocean Tramp","Standish, Burt L.",1866,en,P,PZ
"Phantom Fortune, a Novel","Braddon, M. E. (Mary Elizabeth)",1835,en,P,PR
Quinze Jours en Égypte,"Neuray, Fernand",1874,fr,D,DT
"The History of Rome, Books 09 to 26
Literally Translated, with Notes and Illustrations, by D. Spillan and Cyrus Edmonds",Livy,UNKNOWN YEAR,en,D,DG
"Manual for Noncommissioned Officers and Privates of Infantry of the Army of the United States, 1917
To be used by Engineer companies (dismounted) and Coast Artillery companies for Infantry instruction and training",United States. War Department,UNKNOWN YEAR,en,U,UD
"Los Amantes de Teruel
Drama en cuatro actos en verso y prosa","Hartzenbusch, Juan Eugenio",1806,es,P,PQ
"On Heroes, Hero-Worship, and the Heroic in History","Carlyle, Thomas",1795,en,P,PR
"Robert Louis Stevenson, an Elegy; and Other Poems","Le Gallienne, Richard",1866,en,P,PR
Buried Alive: A Tale of These Days,"Bennett, Arnold",1867,en,P,PR
The Infant's Delight: Poetry,Anonymous,UNKNOWN YEAR,en,P,PZ
English Poems,"Le Gallienne, Richard",1866,en,P,PR
"Die Brüder Wright
Eine Studie ueber die Entwicklung der Flugmaschine von Lilienthal bis Wright","Hildebrandt, A. (Alfred)",1870,de,T,TL
The Girl's Cabinet of Instructive and Moral Stories,"Hawks, Francis L. (Francis Lister)",1798,en,P,PZ
"Parent and Child Volume III., Child Study and Training","Hall, Mosiah",UNKNOWN YEAR,en,H,HQ
"Die Familie Pfäffling
Eine deutsche Wintergeschichte","Sapper, Agnes",1852,de,P,PT
The Log of a Noncombatant,"Green, Horace",UNKNOWN YEAR,en,D,D501
"A Compilation of the Messages and Papers of the Presidents
Volume 2, part 1: James Monroe",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
The Description of Wales,"Cambrensis, Giraldus",UNKNOWN YEAR,en,D,DA
"Two Years Ago, Volume I","Kingsley, Charles",1819,en,P,PR
The World's Greatest Books — Volume 04 — Fiction,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
Young Lives,"Le Gallienne, Richard",1866,en,P,PR
"Punch, or the London Charivari, Volume 153, August 29, 1917",Various,UNKNOWN YEAR,en,A,AP
"The Lands of the Saracen
Pictures of Palestine, Asia Minor, Sicily, and Spain","Taylor, Bayard",1825,en,D,DS
"A Collection of Old English Plays, Volume 4",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
"Saxe Holm's Stories
First Series","Jackson, Helen Hunt",1830,en,P,PS
Tulitikkuja lainaamassa,"Lassila, Maiju",1868,fi,P,PH
Bengal Dacoits and Tigers,"Sunity Devee, Maharani of Cooch Behar",1864,en,P,PR
The Dog Crusoe and His Master: A Story of Adventure in the Western Prairies,"Ballantyne, R. M. (Robert Michael)",1825,en,P,PR
The Beast in the Jungle,"James, Henry",1843,en,P,PS
"The Buccaneer Farmer
Published in England under the Title ""Askew's Victory""","Bindloss, Harold",1866,en,P,PR
"The Lullaby, with Original Engravings","Bolles, John R. (John Rogers)",1810,en,P,PS
Over the Pass,"Palmer, Frederick",1873,en,P,PS
"Punchinello, Volume 2, No. 38, December 17, 1870.",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 2, No. 39, December 24, 1870.",Various,UNKNOWN YEAR,en,A,AP
The Wonderful Adventures of Nils,"Lagerlöf, Selma",1858,en,P,PZ
The Girl Aviators' Motor Butterfly,"Burnham, Margaret",UNKNOWN YEAR,en,P,PZ
The Life of St. Mochuda of Lismore,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PB
"The Headsman; Or, The Abbaye des Vignerons","Cooper, James Fenimore",1789,en,P,PS
After Waterloo: Reminiscences of European Travel 1815-1819,"Frye, William Edward",1784,en,D,D
Tamburlaine the Great — Part 1,"Marlowe, Christopher",1564,en,P,PR
"Manners, Customs, and Dress During the Middle Ages and During the Renaissance Period","Jacob, P. L.",1806,en,G,GT
Jumalainen näytelmä: Helvetti,Dante Alighieri,1265,fi,P,PQ
The Claim Jumpers: A Romance,"White, Stewart Edward",1873,en,P,PS
Elusive Isabel,"Futrelle, Jacques",1875,en,P,PS
From a Bench in Our Square,"Adams, Samuel Hopkins",1871,en,P,PS
Lays of the Scottish Cavaliers and Other Poems,"Aytoun, William Edmondstoune",1813,en,P,PR
"Three Frenchmen in Bengal
The Commercial Ruin of the French Settlements in 1757","Hill, Samuel Charles",1857,en,D,DS
The Best American Humorous Short Stories,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PS
The Stories of the Three Burglars,"Stockton, Frank Richard",1834,en,P,PS
The Romance of Zion Chapel [3d ed.],"Le Gallienne, Richard",1866,en,P,PR
The Light of the Western Stars,"Grey, Zane",1872,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 355, February 7, 1829",Various,UNKNOWN YEAR,en,A,AP
"A Compilation of the Messages and Papers of the Presidents
Volume 5, part 1: Presidents Taylor and Fillmore",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
"Punch, or the London Charivari, Volume 156, Jan. 15, 1919",Various,UNKNOWN YEAR,en,A,AP
"Histoire de la Révolution française, Tome 5","Thiers, Adolphe",1797,fr,D,DC
The Girl Aviators' Sky Cruise,"Burnham, Margaret",UNKNOWN YEAR,en,P,PZ
"The Gospels in the Second Century
An Examination of the Critical Part of a Work Entitled 'Supernatural Religion'","Sanday, W. (William)",1843,en,B,BT
Indian speeches (1907-1909),"Morley, John",1838,en,D,DS
"The Love Affairs of Great Musicians, Volume 1","Hughes, Rupert",1872,en,M,ML
"An Unwilling Maid
Being the History of Certain Episodes during the American Revolution in the Early Life of Mistress Betty Yorke, born Wolcott","Lincoln, Jeanie Gould",1846,en,P,PS
The Visits of Elizabeth,"Glyn, Elinor",1864,en,P,PR
The Faith of Men,"London, Jack",1876,en,P,PS
"Vergil
A Biography","Frank, Tenney",1876,en,P,PA
Lawn Tennis for Ladies,"Lambert Chambers, Mrs.",1878,en,G,GV
Concerning Animals and Other Matters,"Aitken, Edward Hamilton",1851,en,D,DS
"The Grip of Desire
The Story Of A Parish-Priest","France, Hector",1837,en,P,PQ
"Punch, or the London Charivari, Volume 156, Jan. 1, 1919",Various,UNKNOWN YEAR,en,A,AP
"The World Turned Upside Down
Or, No News, and Strange News",Anonymous,UNKNOWN YEAR,en,P,PZ
The Ghost Pirates,"Hodgson, William Hope",1877,en,P,PR
Four Weeks in the Trenches: The War Story of a Violinist,"Kreisler, Fritz",1875,en,D,D501
A Century of Negro Migration,"Woodson, Carter Godwin",1875,en,E,E151
Ski-running,"Furse, Katharine",1875,en,G,GV
Mrs. Warren's Profession,"Shaw, Bernard",1856,en,P,PR
Pragmatism,"Murray, D. L. (David Leslie)",1888,en,B,B
De Zoon van Dik Trom,"Kieviet, Cornelis Johannes",1858,nl,P,PZ
"With the ""Die-Hards"" in Siberia","Ward, John",1866,en,D,D501
The Late Mrs. Null,"Stockton, Frank Richard",1834,en,P,PS
A Ride to India across Persia and Baluchistán,"De Windt, Harry",1856,en,D,DS
Vitaulium: Hofwyck en Spaansche Wijsheit,"Huygens, Constantijn",1596,nl,P,PT
The Apricot Tree,Unknown,UNKNOWN YEAR,en,P,PZ
"The Grizzly King
A Romance of the Wild","Curwood, James Oliver",1878,en,P,PS
Hidden Creek,"Burt, Katharine Newlin",1882,en,P,PS
"Footsteps on the Road to Learning; Or, The Alphabet in Rhyme",Anonymous,UNKNOWN YEAR,en,P,PZ
The Turmoil: A Novel,"Tarkington, Booth",1869,en,P,PS
"Lady John Russell
A Memoir with Selections from Her Diaries and Correspondence",UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,DA
"Child's New Story Book;
Or, Tales and Dialogues for Little Folks",Anonymous,UNKNOWN YEAR,en,P,PZ
La tentation de Saint Antoine,"Flaubert, Gustave",1821,fr,P,PQ
"The Young Captives
A Narrative of the Shipwreck and Suffering of John and William Doyley",Anonymous,UNKNOWN YEAR,en,P,PZ
Growth of the Soil,"Hamsun, Knut",1859,en,P,PT
"The Infant System
For Developing the Intellectual and Moral Powers of all Children, from One to Seven years of Age","Wilderspin, Samuel",1791,en,L,LB
"Frederick Douglass
A Biography","Chesnutt, Charles W. (Charles Waddell)",1858,en,E,E300
"The Extraordinary Adventures of Poor Little Bewildered Henry, Who was shut up in an Old Abbey for Three Weeks
A Story Founded on Fact",Anonymous,UNKNOWN YEAR,en,P,PZ
The Devil's Admiral,"Moore, Frederick Ferdinand",1877,en,P,PS
Our Saviour,Anonymous,UNKNOWN YEAR,en,B,BT
The Riverman,"White, Stewart Edward",1873,en,P,PS
Selected Speeches on British Foreign Policy 1738-1914,UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,DA
Dogs and All about Them,"Leighton, Robert",1859,en,S,SF
Cleopatra,"Abbott, Jacob",1803,en,D,DT
The World's Greatest Books — Volume 05 — Fiction,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
The Good Resolution,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PZ
"Two Years Ago, Volume II.","Kingsley, Charles",1819,en,P,PR
"Whig Against Tory
Or, The Military Adventures of a Shoemaker, a Tale of the Revolution",Unknown,UNKNOWN YEAR,en,P,PZ
"The World of Waters
Or, A Peaceful Progress o'er the Unpathed Sea","Osborne, David, Mrs. (Fanny)",UNKNOWN YEAR,en,G,G
A Catechism of the Steam Engine,"Bourne, John, C.E.",UNKNOWN YEAR,en,T,TJ
Tales of Bengal,"Banerjea, S. B.",UNKNOWN YEAR,en,G,GR
Alice's Adventures in Wonderland,"Carroll, Lewis",1832,en,P,PR
Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",1840,en,P,PR
The First Part of Henry the Sixth,"Shakespeare, William",1564,en,P,PR
An Old Babylonian Version of the Gilgamesh Epic,"Clay, Albert Tobias",1866,en,P,PJ
String Quartet No. 05 in A major Opus 18,"Beethoven, Ludwig van",1770,en,M,M
"String Quartet No. 11 in F minor Opus 95 ""Serioso""","Beethoven, Ludwig van",1770,en,M,M
Michelangelo's Shoulder,"Wetterau, John Moncure",UNKNOWN YEAR,en,P,PS
Joe Burke's Last Stand,"Wetterau, John Moncure",UNKNOWN YEAR,en,P,PS
O+F,"Wetterau, John Moncure",UNKNOWN YEAR,en,P,PS
The Book with the Yellow Cover,"Wetterau, John Moncure",UNKNOWN YEAR,en,P,PS
"Jemmy Stubbins, or the Nailer Boy
Illustrations of the Law of Kindness",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PZ
"Antwerp to Gallipoli
A Year of the War on Many Fronts—and Behind Them","Ruhl, Arthur",1876,en,D,D501
"Labor's Martyrs: Haymarket 1887, Sacco and Vanzetti 1927","Marcantonio, Vito",1902,en,H,HX
The Second Part of King Henry the Sixth,"Shakespeare, William",1564,en,P,PR
"The Spectator, Volume 2.","Addison, Joseph",1672,en,P,PR
"A Hilltop on the Marne
Being Letters Written June 3-September 8, 1914","Aldrich, Mildred",1853,en,D,D501
The Autobiography of an Ex-Colored Man,"Johnson, James Weldon",1871,en,P,PS
"Letters of a Traveller
Or, Notes of Things Seen in Europe and America","Bryant, William Cullen",1794,en,G,G
"Christmas in Legend and Story
A Book for Boys and Girls","Smith, Elva Sophronia",1871,en,P,PZ
"Pantheism, Its Story and Significance
Religions Ancient and Modern","Picton, J. Allanson (James Allanson)",1832,en,B,BL
The Port of Adventure,"Williamson, A. M. (Alice Muriel)",1869,en,P,PR
"Samuel F. B. Morse, His Letters and Journals
In Two Volumes, Volume I.","Morse, Samuel Finley Breese",1791,en,T,TK
"Samuel F. B. Morse, His Letters and Journals
In Two Volumes, Volume II","Morse, Samuel Finley Breese",1791,en,T,TK
Van Bibber and Others,"Davis, Richard Harding",1864,en,P,PS
The Third Part of King Henry the Sixth,"Shakespeare, William",1564,en,P,PR
"Angels and Ministers, and Other Victorian Plays","Housman, Laurence",1865,en,P,PR
"A Compilation of the Messages and Papers of the Presidents
Volume 5, part 4: James Buchanan",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
Sowing and Reaping: A Temperance Story,"Harper, Frances Ellen Watkins",1825,en,P,PS
"Gems of Poetry, for Girls and Boys",Unknown,UNKNOWN YEAR,en,P,PZ
"Max Havelaar
Of de koffiveilingen der Nederlandsche Handelsmaatschappy",Multatuli,1820,nl,P,PT
Phaethon: Loose Thoughts for Loose Thinkers,"Kingsley, Charles",1819,en,P,PR
Literary and General Lectures and Essays,"Kingsley, Charles",1819,en,P,PR
Grimm's Fairy Stories,"Grimm, Jacob",1785,en,P,PZ
Philippine Folk-Tales,"Maxfield, Berton L.",1848,en,G,GR
American Hero-Myths: A Study in the Native Religions of the Western Continent,"Brinton, Daniel G. (Daniel Garrison)",1837,en,E,E011
King Richard III,"Shakespeare, William",1564,en,P,PR
"Incidents in the Life of a Slave Girl, Written by Herself","Jacobs, Harriet A. (Harriet Ann)",1813,en,E,E300
Samuel Johnson,"Stephen, Leslie",1832,en,P,PR
"Wilson's Tales of the Borders and of Scotland, Volume 23",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
"The Angel over the Right Shoulder
The Beginning of a New Year","Trusta, H.",1815,en,P,PZ
"A Compilation of the Messages and Papers of the Presidents
Volume 3, part 2: Martin Van Buren",UNKNOWN AUTHOR,UNKNOWN YEAR,en,J,J
"Aziyadé
Extrait des notes et lettres d'un lieutenant de la marine anglaise entré au  service de la Turquie le 10 mai 1876 tué dans les murs de Kars, le 27 octobre  1877.","Loti, Pierre",1850,fr,P,PQ
Légendes Normandes,"Lavalley, Gaston",1834,fr,P,PQ
"La veille d'armes
Pièce en cinq actes","Farrère, Claude",1876,fr,P,PQ
En ballon! Pendant le siege de Paris,"Tissandier, Gaston",1843,fr,T,TL
"A Woman's Journey Round the World
From Vienna to Brazil, Chili, Tahiti, China, Hindostan, Persia and Asia Minor","Pfeiffer, Ida",1797,en,G,G
The Comedy of Errors,"Shakespeare, William",1564,en,P,PR
"Le passage, suivi de Transfiguration (Nouvelle)","Aleramo, Sibilla",1876,fr,P,PQ
"The Half-Back: A Story of School, Football, and Golf","Barbour, Ralph Henry",1870,en,P,PZ
Isabelle,"Gide, André",1869,fr,P,PQ
Midnight,"Cohen, Octavus Roy",1891,en,P,PS
The Existence of God,"Fénelon, François de Salignac de La Mothe-",1651,en,B,BT
The Ghost Ship,"Middleton, Richard",1882,en,P,PR
La vie d'Ernest Psichari,"Massis, Henri",1886,fr,P,PQ
Libro segundo de lectura,"Cyr, Ellen M.",1860,en,P,PC
La Presse Clandestine dans la Belgique Occupée,"Massart, Jean",1865,fr,D,DH
Eugénie Grandet,"Balzac, Honoré de",1799,fr,P,PQ
The Sonnets,"Shakespeare, William",1564,en,P,PR
Taquisara,"Crawford, F. Marion (Francis Marion)",1854,en,P,PS
The Cruise of the Dazzler,"London, Jack",1876,en,P,PS
The Custom of the Country,"Wharton, Edith",1862,en,P,PS
Minnie's Sacrifice,"Harper, Frances Ellen Watkins",1825,en,P,PS
"Poems (1786), Volume I.","Williams, Helen Maria",1762,en,P,PR
Lord Dolphin,"Cheever, Harriet A. (Harriet Anna)",UNKNOWN YEAR,en,P,PZ
Trial and Triumph,"Harper, Frances Ellen Watkins",1825,en,P,PS
"The Wife of his Youth and Other Stories of the Color Line, and Selected Essays","Chesnutt, Charles W. (Charles Waddell)",1858,en,P,PS
Jack Archer: A Tale of the Crimea,"Henty, G. A. (George Alfred)",1832,en,P,PZ
The Sylphs of the Season with Other Poems,"Allston, Washington",1779,en,P,PS
The Tragedy of Titus Andronicus,"Shakespeare, William",1564,en,P,PR
The Aspirations of Jean Servien,"France, Anatole",1844,en,P,PQ
"The Atlantic Monthly, Volume 06, No. 34, August, 1860
A Magazine Of Literature, Art, And Politics",Various,UNKNOWN YEAR,en,A,AP
The Dozen from Lakerim,"Hughes, Rupert",1872,en,P,PZ
A Man of Mark,"Hope, Anthony",1863,en,P,PR
