Title,Authors,Author Birth Years,Languages,LCC Subjects
The Rise of the Dutch Republic — Volume 18: 1572,"Motley, John Lothrop",1814,en,DH
In the Bishop's Carriage,"Michelson, Miriam",1870,en,PS
The Rise of the Dutch Republic — Volume 19: 1572-73,"Motley, John Lothrop",1814,en,DH
"The Rhinegold & The Valkyrie
The Ring of the Niblung, part 1","Wagner, Richard",1813,en,ML
The Rise of the Dutch Republic — Volume 20: 1573,"Motley, John Lothrop",1814,en,DH
The Rise of the Dutch Republic — Volume 21: 1573-74,"Motley, John Lothrop",1814,en,DH
The Rise of the Dutch Republic — Complete (1566-74),"Motley, John Lothrop",1814,en,DH
The Rise of the Dutch Republic — Volume 22: 1574-76,"Motley, John Lothrop",1814,en,DH
The Rise of the Dutch Republic — Volume 23: 1576,"Motley, John Lothrop",1814,en,DH
The Rise of the Dutch Republic — Volume 24: 1576-77,"Motley, John Lothrop",1814,en,DH
"The Philosophy of History, Vol. 2 of 2","Schlegel, Friedrich von",1772,en,D
"The Rise of the Dutch Republic — Volume 25: 1577, part II","Motley, John Lothrop",1814,en,DH
"The Rise of the Dutch Republic — Volume 26: 1577, part III","Motley, John Lothrop",1814,en,DH
"A Soldier's Daughter, and Other Stories","Henty, G. A. (George Alfred)",1832,en,PZ
The Rise of the Dutch Republic — Volume 27: 1577-78,"Motley, John Lothrop",1814,en,DH
The Woodlanders,"Hardy, Thomas",1840,en,PR
The Epic of Paul,"Wilkinson, William Cleaver",1833,en,PS
"The Rise of the Dutch Republic — Volume 28: 1578, part II","Motley, John Lothrop",1814,en,DH
"The Rise of the Dutch Republic — Volume 29: 1578, part III","Motley, John Lothrop",1814,en,DH
The Rise of the Dutch Republic — Volume 30: 1579-80,"Motley, John Lothrop",1814,en,DH
"Ireland under the Tudors, with a Succinct Account of the Earlier History. Vol. 2 (of 3)","Bagwell, Richard",1840,en,DA
The Rise of the Dutch Republic — Volume 31: 1580-82,"Motley, John Lothrop",1814,en,DH
The Rise of the Dutch Republic — Volume 32: 1582-84,"Motley, John Lothrop",1814,en,DH
The Rise of the Dutch Republic — Complete (1574-84),"Motley, John Lothrop",1814,en,DH
The Rise of the Dutch Republic — Complete (1555-84),"Motley, John Lothrop",1814,en,DH
Fireplaces and Chimneys - Farmers' Bulletin 1889,"Miller, T. A. H. (Thomas Arrington Huntington)",1885,en,TH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1584","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1584-85a","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1585b","Motley, John Lothrop",1814,en,DH
The Conquest of Canaan,"Tarkington, Booth",1869,en,PS
"Mr. Punch's History of Modern England, Vol. 4 (of 4).—1892-1914","Graves, Charles L. (Charles Larcom)",1856,en,DA
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1585c","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1585d","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1585e","Motley, John Lothrop",1814,en,DH
The Rocky Mountain Goat,"Grant, Madison",1865,en,QL
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1585f","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1585e-86a","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1586b","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1586c","Motley, John Lothrop",1814,en,DH
The Story of Joan of Arc,"Lang, Andrew",1844,en,DC
"Travels in Kamtschatka, During the Years 1787 and 1788, Volume 1","Lesseps, Jean-Baptiste-Barthélemy, baron de",1766,en,DK
History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce — Complete (1584-86),"Motley, John Lothrop",1814,en,DH
"A Life for a Life, Volume 2 (of 3)","Craik, Dinah Maria Mulock",1826,en,PR
"A Life for a Life, Volume 3 (of 3)","Craik, Dinah Maria Mulock",1826,en,PR
"History of the United Netherlands, 1586c","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1586d","Motley, John Lothrop",1814,en,DH
"Poor and Proud; Or, The Fortunes of Katy Redburn: A Story for Young Folks","Optic, Oliver",1822,en,PZ
"History of the United Netherlands, 1586e","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1587a","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1587b","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1587c","Motley, John Lothrop",1814,en,DH
Bee Keeping,"Benton, Frank",1852,en,SF
"History of the United Netherlands, 1587d","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1588a","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1588b","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1588c","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1588d","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1588-89","Motley, John Lothrop",1814,en,DH
The Road to Oz,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
"History of the United Netherlands, 1586-89 — Complete","Motley, John Lothrop",1814,en,DH
Psychological Warfare,"Linebarger, Paul Myron Anthony",1913,en,UB
"History of the United Netherlands, 1590a","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1590b","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1590-92","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1592","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1592-94","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1594","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1595","Motley, John Lothrop",1814,en,DH
The Border Boys on the Trail,"Goldfrap, John Henry",1879,en,PZ
"History of the United Netherlands, 1595-96","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1597-98","Motley, John Lothrop",1814,en,DH
"Ozma of Oz
A Record of Her Adventures with Dorothy Gale of Kansas, the Yellow Hen, the Scarecrow, the Tin Woodman, Tiktok, the Cowardly Lion, and the Hungry Tiger; Besides Other Good People too Numerous to Mention Faithfully Recorded Herein","Baum, L. Frank (Lyman Frank)",1856,en,PZ
"History of the United Netherlands, 1598","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1598-99","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands, 1590-99 — Complete","Motley, John Lothrop",1814,en,DH
"Les Misérables, v. 1/5: Fantine","Hugo, Victor",1802,en,PQ
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1600","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1600-02","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1602-03","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1603-04","Motley, John Lothrop",1814,en,DH
Calvary: A Novel,"Mirbeau, Octave",1848,en,PQ
The Sea Fairies,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1604-05","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1605-07","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1607a","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1607b","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1608a","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1608b","Motley, John Lothrop",1814,en,DH
"History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce, 1609","Motley, John Lothrop",1814,en,DH
History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce — Complete (1600-1609),"Motley, John Lothrop",1814,en,DH
History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce — Complete (1584-1609),"Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1609-10","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1610a","Motley, John Lothrop",1814,en,DH
"The Mystery of the Ravenspurs
A Romance and Detective Story of Thibet and England","White, Fred M. (Fred Merrick)",1859,en,PR
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1610b","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1610c-12","Motley, John Lothrop",1814,en,DH
She Stands Accused,"MacClure, Victor",1887,en,HV
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1609-14","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1613-15","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War — Complete (1609-15)","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1614-17","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1617","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1618","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1618-19","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War, 1619-23","Motley, John Lothrop",1814,en,DH
"Life and Death of John of Barneveld, Advocate of Holland : with a view of the primary causes and movements of the Thirty Years' War — Complete (1614-23)","Motley, John Lothrop",1814,en,DH
Life and Death of John of Barneveld — Complete (1609-1623),"Motley, John Lothrop",1814,en,DH
One Basket,"Ferber, Edna",1885,en,PS
PG Edition of Netherlands series — Complete,"Motley, John Lothrop",1814,en,DH
Chess History and Reminiscences,"Bird, H. E. (Henry Edward)",1830,en,GV
"The Motor Boat Club at the Golden Gate; or, A Thrilling Capture in the Great Fog","Hancock, H. Irving (Harrie Irving)",1868,en,PZ
Quotations from the Project Gutenberg Editions of the Collected Works of George Meredith,"Meredith, George",1828,en,PR
The Lucky Man,"Baron, Monsieur (Michel)",1653,en,PQ
Moths of the Limberlost: A Book About Limberlost Cabin,"Stratton-Porter, Gene",1863,en,QL
Five of Maxwell's Papers,"Maxwell, James Clerk",1831,en,QC
Life and Adventures of Calamity Jane,Calamity Jane,1852,en,F590.3
"The Magic Pudding
Being the Adventures of Bunyip Bluegum and His Friends Bill Barnacle & Sam Sawnoff","Lindsay, Norman",1879,en,PZ
Wacousta : a tale of the Pontiac conspiracy — Volume 3,"Richardson, Major (John)",1796,en,PS
Wacousta : a tale of the Pontiac conspiracy (Complete),"Richardson, Major (John)",1796,en,PS
Chess and Checkers : the Way to Mastership,"Lasker, Edward",1885,en,GV
The Heart of Rachael,"Norris, Kathleen Thompson",1880,en,PS
Undertow,"Norris, Kathleen Thompson",1880,en,PS
The Kellys and the O'Kellys,"Trollope, Anthony",1815,en,PR
The Lilac Sunbonnet: A Love Story,"Crockett, S. R. (Samuel Rutherford)",1860,en,PR
"The Letters of Horace Walpole, Earl of Orford — Volume 4","Walpole, Horace",1717,en,DA
Rezanov,"Atherton, Gertrude Franklin Horn",1857,en,PS
Our Greatest Battle (The Meuse-Argonne),"Palmer, Frederick",1873,en,D501
Dry-Farming : A System of Agriculture for Countries under a Low Rainfall,"Widtsoe, John Andreas",1872,en,SB
The Age of Fable,"Bulfinch, Thomas",1796,en,BL
The Age of Chivalry,"Bulfinch, Thomas",1796,en,PN
Legends of Charlemagne,"Bulfinch, Thomas",1796,en,PN
Bulfinch's Mythology,"Bulfinch, Thomas",1796,en,BL
The Fashionable Adventures of Joshua Craig: A Novel,"Phillips, David Graham",1867,en,PS
The Natural History of Wiltshire,"Aubrey, John",1626,en,DA
"Hudibras, in Three Parts, Written in the Time of the Late Wars","Butler, Samuel",1612,en,PR
Chopin : the Man and His Music,"Huneker, James",1857,en,ML
"The House Boat Boys; Or, Drifting Down to the Sunny South","Rathborne, St. George",1854,en,PZ PS
Evolution of Expression — Volume 1,"Emerson, Charles Wesley",1837,en,PN
The River War: An Account of the Reconquest of the Sudan,"Churchill, Winston",1874,en,DT
Sisters,"Norris, Kathleen Thompson",1880,en,PS
"Love, the Fiddler","Osbourne, Lloyd",1868,en,PS
"Siegfried & The Twilight of the Gods
The Ring of the Niblung, part 2","Wagner, Richard",1813,en,ML
Life of John Coleridge Patteson : Missionary Bishop of the Melanesian Islands,"Yonge, Charlotte M. (Charlotte Mary)",1823,en,BV
"Revolution, and Other Essays","London, Jack",1876,en,PS
"Laicus; Or, the Experiences of a Layman in a Country Parish.","Abbott, Lyman",1835,en,PS
The Duke's Prize; a Story of Art and Heart in Florence,"Ballou, Maturin Murray",1820,en,PS
"The Heart's Secret; Or, the Fortunes of a Soldier: a Story of Love and the Low Latitudes.","Ballou, Maturin Murray",1820,en,PS
In African Forest and Jungle,"Du Chaillu, Paul B. (Paul Belloni)",1835,en,PZ DT
Our Mr. Wrenn: The Romantic Adventures of a Gentle Man,"Lewis, Sinclair",1885,en,PS
"The Father and Daughter: A Tale, in Prose","Opie, Amelia",1769,en,PR
The Story of Germ Life,"Conn, H. W. (Herbert William)",1859,en,QR
Moral,"Thoma, Ludwig",1867,en,PT
"Waverley; Or, 'Tis Sixty Years Since — Volume 1","Scott, Walter",1771,en,PR
"Waverley; Or, 'Tis Sixty Years Since — Volume 2","Scott, Walter",1771,en,PR
"Drawing Rooms, Second Floor, and Attics: A Farce, in One Act","Morton, John Maddison",1811,en,PR
Waverley; Or 'Tis Sixty Years Since — Complete,"Scott, Walter",1771,en,PR
The Belton Estate,"Trollope, Anthony",1815,en,PR
There Are Crimes and Crimes,"Strindberg, August",1849,en,PT
"The Great Intendant : A Chronicle of Jean Talon in Canada, 1665-1672","Chapais, Thomas",1858,en,F1001
"Frederick Chopin, as a Man and Musician — Volume 2","Niecks, Frederick",1845,en,ML
"Frederick Chopin, as a Man and Musician — Complete","Niecks, Frederick",1845,en,ML
"The Young Deliverers of Pleasant Cove
The Pleasant Cove Series","Kellogg, Elijah",1813,en,PZ
"Australia Twice Traversed
The Romance of Exploration, Being a Narrative Compiled from the Journals of Five Exploring Expeditions into and Through Central South Australia and Western Australia, from 1872 to 1876","Giles, Ernest",1835,en,DU
"Spinifex and Sand
A Narrative of Five Years' Pioneering and Exploration in Western Ausralia","Carnegie, David Wynford",1871,en,DU
"Narrative of an Expedition into Central Australia
Performed Under the Authority of Her Majesty's Government, During the Years 1844, 5, and 6, Together With A Notice of the Province of South Australia in 1847","Sturt, Charles",1795,en,DU
Hagar,"Johnston, Mary",1870,en,PS
The March of Portola and the Discovery of the Bay of San Francisco,"Eldredge, Zoeth Skinner",1846,en,F850.5
"The Death Ship: A Strange Story, Vol. 1 (of 3)","Russell, William Clark",1844,en,PR
Minnesota and Dacotah,"Andrews, C. C. (Christopher Columbus)",1829,en,F590.3
Slips of Speech : a Helpful Book for Everyone Who Aspires to Correct the Everyday Errors of Speaking,"Bechtel, John Hendricks",1841,en,PE
The Hidden Children,"Chambers, Robert W. (Robert William)",1865,en,PS
The Four Epochs of Woman's Life; A Study in Hygiene,"Galbraith, Anna M. (Anna Mary)",1859,en,RG
"The Death Ship: A Strange Story, Vol. 2 (of 3)","Russell, William Clark",1844,en,PR
A Sweet Girl Graduate,"Meade, L. T.",1854,en,PZ PR
Rebecca of Sunnybrook Farm,"Wiggin, Kate Douglas Smith",1856,en,PZ PS
"The Pony Rider Boys in New Mexico; Or, The End of the Silver Trail","Patchin, Frank Gee",1861,en,PZ
"Diddie, Dumps, and Tot; Or, Plantation Child-Life","Pyrnelle, Louise Clarke",1850,en,PZ PS
"True to Himself; Or, Roger Strong's Struggle for Place","Stratemeyer, Edward",1862,en,PZ PS
Number Seventeen,"Tracy, Louis",1863,en,PR
"The Death Ship: A Strange Story, Vol. 3 (of 3)","Russell, William Clark",1844,en,PR
"Two Boys and a Fortune; Or, The Tyler Will","White, Matthew",1857,en,PZ PS
The Notebooks of Leonardo Da Vinci — Volume 1,"Leonardo, da Vinci",1452,en,ND
"Polite Satires: Containing The Unknown Hand, The Volcanic Island, Square Pegs","Bax, Clifford",1886,en,PR
The Notebooks of Leonardo Da Vinci — Volume 2,"Leonardo, da Vinci",1452,en,ND
"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","Lincoln, Abraham",1809,en,E456
"On the Edge of the Primeval Forest
Experiences and Observations of a Doctor in Equatorial Africa","Schweitzer, Albert",1875,en,BV
Relativity : the Special and General Theory,"Einstein, Albert",1879,en,QC
The Wailing Asteroid,"Leinster, Murray",1896,en,PS
"The Rover Boys in Business; Or, The Search for the Missing Bonds","Stratemeyer, Edward",1862,en,PZ PS
"The Rover Boys in New York; Or, Saving Their Father's Honor","Stratemeyer, Edward",1862,en,PZ PS
"Journal of an Overland Expedition in Australia
From Moreton Bay to Port Essington, a distance of upwards of 3000 miles, during the years 1844-1845","Leichhardt, Ludwig",1813,en,DU
Harriet and the Piper,"Norris, Kathleen Thompson",1880,en,PS
The Poisoned Pen,"Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
Katherine's Sheaves,"Sheldon, Georgie, Mrs.",1843,en,PS
State of the Union Addresses,"Washington, George",1732,en,J
State of the Union Addresses,"Adams, John",1735,en,J
State of the Union Addresses,"Jefferson, Thomas",1743,en,J
State of the Union Addresses,"Madison, James",1751,en,J
State of the Union Addresses,"Monroe, James",1758,en,J
State of the Union Addresses of John Quincy Adams,"Adams, John Quincy",1767,en,J
State of the Union Addresses,"Jackson, Andrew",1767,en,J
State of the Union Addresses,"Van Buren, Martin",1782,en,J
State of the Union Addresses,"Tyler, John",1790,en,J
State of the Union Addresses,"Polk, James K. (James Knox)",1795,en,J
State of the Union Addresses,"Taylor, Zachary",1784,en,J
State of the Union Addresses,"Fillmore, Millard",1800,en,J
State of the Union Addresses,"Pierce, Franklin",1804,en,J
State of the Union Addresses,"Buchanan, James",1791,en,J
State of the Union Addresses,"Lincoln, Abraham",1809,en,J
State of the Union Addresses,"Johnson, Andrew",1808,en,J
State of the Union Addresses,"Grant, Ulysses S. (Ulysses Simpson)",1822,en,J
State of the Union Addresses,"Hayes, Rutherford Birchard",1822,en,J
State of the Union Addresses,"Arthur, Chester Alan",1829,en,J
State of the Union Addresses,"Cleveland, Grover",1837,en,J
Desert Gold,"Grey, Zane",1872,en,PS
State of the Union Addresses,"Harrison, Benjamin",1833,en,J
State of the Union Addresses,"McKinley, William",1843,en,J
State of the Union Addresses,"Roosevelt, Theodore",1858,en,J
State of the Union Addresses,"Taft, William H. (William Howard)",1857,en,J
State of the Union Addresses,"Wilson, Woodrow",1856,en,J
State of the Union Addresses,"Harding, Warren G. (Warren Gamaliel)",1865,en,J
State of the Union Addresses,"Coolidge, Calvin",1872,en,J
The Tragedy of Ida Noble,"Russell, William Clark",1844,en,PR
State of the Union Addresses,"Hoover, Herbert",1874,en,J
State of the Union Addresses,"Roosevelt, Franklin D. (Franklin Delano)",1882,en,J
State of the Union Addresses,"Truman, Harry S.",1884,en,J
State of the Union Addresses,"Eisenhower, Dwight D. (Dwight David)",1890,en,J
State of the Union Addresses,"Kennedy, John F. (John Fitzgerald)",1917,en,J
"John Leech's Pictures of Life and Character, Vol. 2 (of 3)
From the Collection of ""Mr. Punch""","Leech, John",1817,en,NC
State of the Union Addresses,"Johnson, Lyndon B. (Lyndon Baines)",1908,en,J
State of the Union Addresses,"Nixon, Richard M. (Richard Milhous)",1913,en,J
Leslie's Loyalty,"Garvice, Charles",1850,en,PR
State of the Union Addresses,"Ford, Gerald R.",1913,en,J
State of the Union Addresses,"Carter, Jimmy",1924,en,J
State of the Union Addresses,"Reagan, Ronald",1911,en,J
State of the Union Addresses,"Bush, George",1924,en,J
State of the Union Addresses,"Clinton, Bill",1946,en,J
State of the Union Addresses,"Bush, George W. (George Walker)",1946,en,J
The Fifth String,"Sousa, John Philip",1854,en,PS
Absalom's Hair,"Bjørnson, Bjørnstjerne",1832,en,PT
Plays by August Strindberg: Creditors. Pariah.,"Strindberg, August",1849,en,PT
The Dream Doctor,"Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
Buddy Jim,"Gordon, Elizabeth",1866,en,PZ
Plays : First Series,"Galsworthy, John",1867,en,PR
Plays : Second Series,"Galsworthy, John",1867,en,PR
"Memoirs of the Dukes of Urbino, Volume 3 (of 3)
Illustrating the Arms, Arts, and Literature of Italy, from 1440 To 1630","Dennistoun, James",1803,en,DG
Plays : Third Series,"Galsworthy, John",1867,en,PR
A Thousand Degrees Below Zero,"Leinster, Murray",1896,en,PS
Plays : Fourth Series,"Galsworthy, John",1867,en,PR
Plays : Fifth Series,"Galsworthy, John",1867,en,PR
History of the Warfare of Science with Theology in Christendom,"White, Andrew Dickson",1832,en,BL
Six Short Plays,"Galsworthy, John",1867,en,PR
The Silver Menace,"Leinster, Murray",1896,en,PS
The Winds of Chance,"Beach, Rex",1877,en,PS
The Voyage of the Hoppergrass,"Pearson, Edmund Lester",1880,en,PZ PS
The Infidel: A Story of the Great Revival,"Braddon, M. E. (Mary Elizabeth)",1835,en,PR
On Being Human,"Wilson, Woodrow",1856,en,BJ
The Doctor's Dilemma: Preface on Doctors,"Shaw, Bernard",1856,en,PR R
The Doctor's Dilemma,"Shaw, Bernard",1856,en,PR
Juju,"Leinster, Murray",1896,en,PS
The Philanderer,"Shaw, Bernard",1856,en,PR
The War Terror,"Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
Aunt Judy's Tales,"Gatty, Alfred, Mrs.",1809,en,PZ
The Spoilers,"Beach, Rex",1877,en,PS
Marmion: A Tale of Flodden Field in Six Cantos,"Scott, Walter",1771,en,PR
When a Man Comes to Himself,"Wilson, Woodrow",1856,en,BJ
Ziska: The Problem of a Wicked Soul,"Corelli, Marie",1855,en,PR
Life and Letters of Thomas Henry Huxley — Volume 1,"Huxley, Thomas Henry",1825,en,QH
Characters of Shakespeare's Plays,"Hazlitt, William",1778,en,PR
Rainbow's End,"Beach, Rex",1877,en,PS
The Treasure-Train,"Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
Community Civics and Rural Life,"Dunn, Arthur William",1868,en,JK
Boris Godunov: a drama in verse,"Pushkin, Aleksandr Sergeevich",1799,en,PG
Twice-Told Tales,"Hawthorne, Nathaniel",1804,en,PS
Savrola: A Tale of the Revolution in Laurania,"Churchill, Winston",1874,en,PR
I Will Repay,"Orczy, Emmuska Orczy, Baroness",1865,en,PR
The Little Minister,"Barrie, J. M. (James Matthew)",1860,en,PR
"The Romance of Elaine
Sequel to ""Exploits of Elaine""","Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
The Problem Makers,"Hoskins, Robert",1933,en,PS
Med Ship Man,"Leinster, Murray",1896,en,PS
Heart of the Sunset,"Beach, Rex",1877,en,PS
The Purcell Papers — Volume 1,"Le Fanu, Joseph Sheridan",1814,en,PR
"The Canadian Brothers; Or, The Prophecy Fulfilled: A Tale of the Late American War — Volume 1","Richardson, Major (John)",1796,en,PS
"The Canadian Brothers; Or, The Prophecy Fulfilled: A Tale of the Late American War — Volume 2","Richardson, Major (John)",1796,en,PS
"The Canadian Brothers; Or, The Prophecy Fulfilled: A Tale of the Late American War — Complete","Richardson, Major (John)",1796,en,PS
"Book of Mormon Stories. No. 1.
Adapted to the Capacity of Young Children, and Designed for Use in Sabbath Schools, Primary Associations, and for Home Reading","Cannon, George Q. (George Quayle)",1827,en,BX
Ragnarok : the Age of Fire and Gravel,"Donnelly, Ignatius",1831,en,GN
The Purcell Papers — Volume 2,"Le Fanu, Joseph Sheridan",1814,en,PR
The Sentimentalists,"Leinster, Murray",1896,en,PS
The Other Now,"Leinster, Murray",1896,en,PS
The Real Diary of a Real Boy,"Shute, Henry A. (Henry Augustus)",1856,en,PZ PS
The Confessions of a Beachcomber,"Banfield, E. J. (Edmund James)",1852,en,DU
Ardath: The Story of a Dead Self,"Corelli, Marie",1855,en,PR
Pragmatism: A New Name for Some Old Ways of Thinking,"James, William",1842,en,B
A Little Journey,"Bradbury, Ray",1920,en,PS
The Meaning of Truth,"James, William",1842,en,B
The American Senator,"Trollope, Anthony",1815,en,PR
The Purcell Papers — Volume 3,"Le Fanu, Joseph Sheridan",1814,en,PR
"Vandrad the Viking; Or, The Feud and the Spell","Clouston, J. Storer (Joseph Storer)",1870,en,PZ PR
Dark Hollow,"Green, Anna Katharine",1846,en,PS
The Contest in America,"Mill, John Stuart",1806,en,E456
Last Poems: Translations from the Book of Indian Love,"Hope, Laurence",1865,en,PR
The Scarecrow of Oz,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
"Mosses from an Old Manse, and Other Stories","Hawthorne, Nathaniel",1804,en,PS
Childe Harold's Pilgrimage,"Byron, George Gordon Byron, Baron",1788,en,PR
Quotations from John L. Motley Works,"Motley, John Lothrop",1814,en,DH
"Around the World on a Bicycle - Volume I
From San Francisco to Teheran","Stevens, Thomas",1854,en,G
Fair Em,Shakespeare (spurious and doubtful works),1564,en,PR
The Snow Image,"Hawthorne, Nathaniel",1804,en,PS
"Public School Life: Boys, Parents, Masters","Waugh, Alec",1898,en,LA
He Knew He Was Right,"Trollope, Anthony",1815,en,PR
What Katy Did at School,"Coolidge, Susan",1835,en,PZ PS
The Autobiography of a Super-Tramp,"Davies, W. H. (William Henry)",1871,en,PR
Henry D. Thoreau,"Sanborn, F. B. (Franklin Benjamin)",1831,en,PS
The Auction Block,"Beach, Rex",1877,en,PS
My Life — Volume 2,"Wagner, Richard",1813,en,ML
The Heart of the Hills,"Fox, John",1863,en,PS
The Fighting Governor : A Chronicle of Frontenac,"Colby, Charles W. (Charles William)",1867,en,F1001
Gold of the Gods,"Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
Little Women,"Alcott, Louisa May",1832,en,PS
The Ear in the Wall,"Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
The Exploits of Elaine,"Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
One Thousand Questions in California Agriculture Answered,"Wickson, Edward J. (Edward James)",1848,en,S
Cæsar's Column: A Story of the Twentieth Century,"Donnelly, Ignatius",1831,en,PS
"A Woman of No Importance
Audio performance","Wilde, Oscar",1854,en,PR
"The Doctor's Dilemma
Audio performance","Shaw, Bernard",1856,en,PR
"Major Barbara
Audio performance","Shaw, Bernard",1856,en,PR
"The Admirable Crichton
Audio performance","Barrie, J. M. (James Matthew)",1860,en,PR
"How I Found Livingstone
Travels, adventures, and discoveres in Central Africa, including an account of four months' residence with Dr. Livingstone, by Henry M. Stanley","Stanley, Henry M. (Henry Morton)",1841,en,DT
Margret Howth: A Story of To-day,"Davis, Rebecca Harding",1831,en,PS
The Treasure,"Lagerlöf, Selma",1858,en,PT
Agatha Webb,"Green, Anna Katharine",1846,en,PS
Guy Garrick,"Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
