Title,Authors,Author Birth Years,Languages,LCC Subjects
The Crisis of the Naval War,"Jellicoe, John Rushworth",1859,en,D501
The Three Taverns: A Book of Poems,"Robinson, Edwin Arlington",1869,en,PS
"Love, Life & Work
Being a Book of Opinions Reasonably Good-Natured Concerning How to Attain the Highest Happiness for One's Self with the Least Possible Harm to Others","Hubbard, Elbert",1856,en,BF BJ
The Money Moon: A Romance,"Farnol, Jeffery",1878,en,PR
Shakespeare's Sonnets,"Shakespeare, William",1564,en,PR
The Principles of Success in Literature,"Lewes, George Henry",1817,en,PN
The Life of Lord Byron,"Galt, John",1779,en,PR
Caesar Dies,"Mundy, Talbot",1879,en,PR
Scientific Essays and Lectures,"Kingsley, Charles",1819,en,Q
Miss Lulu Bett,"Gale, Zona",1874,en,PS
Trips to the Moon,"Lucian, of Samosata",120,en,PA
"Thirty Years a Slave
From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter: Autobiography of Louis Hughes","Hughes, Louis",1832,en,E300
Aunt Jane's Nieces out West,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
A Flock of Girls and Boys,"Perry, Nora",1831,en,PZ
"Wyandotté; Or, The Hutted Knoll: A Tale","Cooper, James Fenimore",1789,en,PS
Erick and Sally,"Spyri, Johanna",1827,en,PZ
Pulpit and Press (6th Edition),"Eddy, Mary Baker",1821,en,BX
Up the Hill and Over,"Mackay, Isabel Ecclestone",1875,en,PS
The Story of Evolution,"McCabe, Joseph",1867,en,QH
Tutt and Mr. Tutt,"Train, Arthur Cheney",1875,en,PS
The Green Mouse,"Chambers, Robert W. (Robert William)",1865,en,PS
The Rayner-Slade Amalgamation,"Fletcher, J. S. (Joseph Smith)",1863,en,PR
The Peace Negotiations: A Personal Narrative,"Lansing, Robert",1864,en,D501
"The Green Flag, and Other Stories of War and Sport","Doyle, Arthur Conan",1859,en,PR
October Vagabonds,"Le Gallienne, Richard",1866,en,PR
Burnham Breaker,"Greene, Homer",1853,en,PZ
"Life of Johnson, Volume 5
Tour to the Hebrides (1773) and Journey into North Wales (1774)","Boswell, James",1740,en,PR
Peter's Mother,"De La Pasture, Henry, Mrs.",1866,en,PR
The Lonely Dancer and Other Poems,"Le Gallienne, Richard",1866,en,PR
"Three short works
The Dance of Death, the Legend of Saint Julian the Hospitaller, a Simple Soul.","Flaubert, Gustave",1821,en,PQ
The Celtic Twilight,"Yeats, W. B. (William Butler)",1865,en,PR
Venus and Adonis,"Shakespeare, William",1564,en,PR
When Day is Done,"Guest, Edgar A. (Edgar Albert)",1881,en,PS
Clarissa Harlowe; or the history of a young lady — Volume 4,"Richardson, Samuel",1689,en,PR
The Little House in the Fairy Wood,"Eliot, Ethel Cook",1890,en,PZ
Little Saint Elizabeth and Other Stories,"Burnett, Frances Hodgson",1849,en,PZ
Aunt Jane's Nieces in Society,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
Johnny Crow's Garden,"Brooke, L. Leslie (Leonard Leslie)",1862,en,PZ
The Heart of the Range,"White, William Patterson",1884,en,PS
The Lost Naval Papers,"Copplestone, Bennet",1867,en,PS
"The Vanishing Man
A Detective Romance","Freeman, R. Austin (Richard Austin)",1862,en,PR
"Beacon Lights of History, Volume 01: The Old Pagan Civilizations","Lord, John",1810,en,D
"Beacon Lights of History, Volume 02: Jewish Heroes and Prophets","Lord, John",1810,en,D
"Our Churches and Chapels: Their Parsons, Priests, & Congregations
Being a Critical and Historical Account of Every Place of Worship in Preston",Atticus,1835,en,DA
The Young Mother: Management of Children in Regard to Health,"Alcott, William A. (William Andrus)",1798,en,HQ
"Beacon Lights of History, Volume 03: Ancient Achievements","Lord, John",1810,en,D
Experiments in Government and the Essentials of the Constitution,"Root, Elihu",1845,en,JK
The Golden Legend,"Longfellow, Henry Wadsworth",1807,en,PS
"Practice Book, Leland Powers School","Powers, Leland Todd",1857,en,PN
Henry the Second,"Green, Alice Stopford",1848,en,DA
Under King Constantine,"Trask, Katrina",1853,en,PS
"Red Masquerade
Being the Story of the Lone Wolf's Daughter","Vance, Louis Joseph",1879,en,PS
Vanished Arizona: Recollections of the Army Life by a New England Woman,"Summerhayes, Martha",1844,en,F786
"Inaugural Address of Franklin Delano Roosevelt
Given in Washington, D.C. March 4th, 1933","Roosevelt, Franklin D. (Franklin Delano)",1882,en,E740
The Bars of Iron,"Dell, Ethel M. (Ethel May)",1881,en,PR
The Dark Lady of the Sonnets,"Shaw, Bernard",1856,en,PR
Inaugural Presidential Address,"Clinton, Bill",1946,en,E838
Bits about Home Matters,"Jackson, Helen Hunt",1830,en,HQ
"Government and Rebellion
A Sermon Delivered in the North Broad Street Presbyterian Church, Sunday Morning, April 28, 1861","Adams, E. E. (Ezra Eastman)",1813,en,E456
Poems,"Hay, John",1838,en,PS
Mercy Philbrick's Choice,"Jackson, Helen Hunt",1830,en,PS
Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,"Carlyle, Thomas",1795,en,PR
"The Primadonna
A Sequel to ""Fair Margaret""","Crawford, F. Marion (Francis Marion)",1854,en,PS
"Beacon Lights of History, Volume 04: Imperial Antiquity","Lord, John",1810,en,D
"Beacon Lights of History, Volume 05: The Middle Ages","Lord, John",1810,en,D
"Beacon Lights of History, Volume 06: Renaissance and Reformation","Lord, John",1810,en,D
"Beacon Lights of History, Volume 07: Great Women","Lord, John",1810,en,D
The Double Traitor,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,PR
The Governors,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,PR
